,Country Name,Country Code,Value
17,Antigua and Barbuda,ATG,109.23129899999999
35,Argentina,ARG,84845.62896
53,Bahamas,BHS,694.3108736
71,Barbados,BRB,383.7868258
89,Belize,BLZ,180.2321358
107,Bolivia Plurinational States of ,BOL,5433.818275
125,Brazil,BRA,308120.7018
143,Canada,CAN,180507.0457
161,Chile,CHL,40235.9841
179,Democratic Republic of the Congo,COD,3036.603346
197,Colombia,COL,50987.01651
215,Costa Rica,CRI,6191.886558
233,Dominica,DMA,48.5444342
251,Dominican Republic,DOM,10613.34455
269,Ecuador,ECU,15940.8729
287,El Salvador,SLV,3716.603164
305,Grenada,GRD,77.75049719
323,Guatemala,GTM,8031.353670999999
341,Guyana,GUY,315.09337180000006
359,Haiti,HTI,1604.8985910000001
377,Honduras,HND,3657.474243
395,Jamaica,JAM,1569.10223
413,Republic of Korea,KOR,151935.0559
431,The Republic of North Macedonia,MKD,1930.917747
449,Mexico,MEX,133759.566
467,Republic of Moldova,MDA,1690.966357
485,Nicaragua,NIC,3147.059605
503,New Zealand,NZL,17729.232630000002
521,Panama,PAN,7356.183693000001
539,Paraguay,PRY,5902.853512
557,Peru,PER,21912.240840000002
575,Papua New Guinea,PNG,857.2923559000001
593,Saint Kitts and Nevis,KNA,79.81480238
611,Saint Lucia,LCA,118.4507433
629,Saint Vincent and the Grenadines,VCT,58.03355885
647,Suriname,SUR,533.1904011
665,United Republic of Tanzania,TZA,5978.236672
683,Trinidad and Tobago,TTO,3020.025068
701,United Arab Emirates,ARE,23204.72251
719,United Kingdom,GBR,285656.4184
737,United States of America,USA,3324456.503
755,Uruguay,URY,7265.782275
773,Venezuela (Bolivarian Republic of),VEN,4509.475853
781,Zimbabwe,ZWE,3323.2622
799,Egypt,EGY,59878.9818
834,Ethiopia,ETH,6996.6897819999995
852,Viet Nam,VNM,35889.256910000004
870,Algeria,DZA,40277.24497
888,Benin,BEN,946.0333732999999
906,Angola,AGO,5535.512713
924,Botswana,BWA,2393.175382
942,Burkina Faso,BFA,2477.179892
960,Burundi,BDI,643.0401931
978,Cameroon,CMR,4182.037239
996,Cabo Verde Republic of,CPV,195.0996978
1014,Central African Republic,CAF,195.63182450000002
1032,Chad,TCD,1300.747787
1050,Comoros,COM,100.25718990000001
1068,Congo,COG,867.1098549000001
1086,C̫te d'Ivoire,CIV,4267.643123
1104,Equatorial Guinea,GNQ,962.0935045
1122,Estonia,EST,2833.008665
1140,France,FRA,334768.8293
1158,Gabon,GAB,1011.7847640000001
1176,Germany,DEU,488745.8977
1194,Greece,GRC,24716.53965
1212,Guinea,GIN,1133.991219
1230,Kazakhstan,KAZ,14934.0989
1248,Lebanon,LBN,7209.582603
1266,Lesotho,LSO,593.0417151
1284,Madagascar,MDG,2185.993807
1302,Luxembourg,LUX,3518.2985240000003
1320,Marshall Islands,MHL,37.70293535
1338,Maldives,MDV,657.5224922
1356,Mauritania,MRT,752.0914031000001
1374,Morocco,MAR,15657.198690000001
1392,Myanmar,MMR,15351.56214
1410,Niger,NER,1693.5242670000002
1428,Russian Federation,RUS,202192.81399999998
1446,San Marino,SMR,145.9487907
1464,Serbia,SRB,9730.801032
1482,Seychelles,SYC,140.7293299
1500,Sudan,SDN,12714.52439
1515,Timor-Leste,TLS,342.0237601
1533,Tuvalu,TUV,7.77092538
1551,Zambia,ZMB,3081.570173
1569,Bahrain,BHR,3381.1225090000003
1587,Denmark,DNK,31675.6925
1605,Djibouti,DJI,112.1481968
1623,Indonesia,IDN,97133.3617
1641,Iran,IRN,141904.6693
1659,Japan,JPN,581769.8163
1677,Kiribati,KIR,27.34507901
1695,Latvia,LVA,3280.766354
1713,Liberia,LBR,495.2935302
1731,Norway,NOR,34278.29956
1749,Oman,OMN,7375.56645
1767,Portugal,PRT,30076.69074
1785,Sao Tome and Principe,STP,42.75282711
1803,Solomon Islands,SLB,70.45003934
1821,Sri Lanka,LKA,10512.84836
1839,Switzerland,CHE,69183.08227
1857,Tonga,TON,36.21996456
1875,Ukraine,UKR,25852.35333
1893,Andorra,AND,403.0843246
1911,Armenia,ARM,2933.5827440000003
1929,Austria,AUT,49280.65897
1947,Azerbaijan,AZE,11437.95643
1965,Belarus,BLR,10690.82678
1983,Belgium,BEL,58110.33397000001
2001,Bosnia and Herzegovina,BIH,4111.512542
2019,Bulgaria,BGR,11999.9202
2037,Croatia,HRV,7363.26661
2055,Cuba,CUB,28548.63058
2073,Cyprus,CYP,2077.3193739999997
2091,Eritrea,ERI,300.4480572
2109,Fiji,FJI,292.2595688
2127,Finland,FIN,23502.58472
2145,Gambia,GMB,117.14020719999999
2163,Georgia,GEO,3025.067749
2181,Ghana,GHA,4234.705556
2199,Guinea-Bissau,GNB,229.4718753
2217,Hungary,HUN,19393.324480000003
2235,Ireland,IRL,26527.86304
2253,Israel,ISR,25086.59688
2271,Jordan,JOR,7341.374964
2289,Kuwait,KWT,15705.21614
2307,Lao People's Democratic Republic,LAO,1220.2980380000001
2325,Lithuania,LTU,6073.4664060000005
2343,Mali,MLI,1560.547799
2361,Micronesia (Federated States of),FSM,52.0553081
2379,Mongolia,MNG,1593.586923
2397,Nepal,NPL,4397.901484
2415,Philippines,PHL,39002.49762
2433,Poland,POL,74357.42874
2451,Romania,ROU,26869.38262
2469,Samoa,WSM,71.49592018
2487,Senegal,SEN,2268.088517
2505,Singapore,SGP,24376.52563
2523,Slovakia,SVK,11871.89123
2541,South Africa,ZAF,62265.18345
2559,Eswatini,SWZ,820.5120038
2577,Sweden,SWE,56968.44049
2595,Thailand,THA,46315.68353
2613,Tunisia,TUN,9955.57845
2631,Turkey,TUR,95330.94462000001
2649,Uganda,UGA,5258.118788000001
2667,Bangladesh,BGD,15528.689419999999
2685,Bhutan,BTN,234.54908930000002
2703,Czech Republic,CZE,29127.552260000004
2721,Iceland,ISL,1581.795938
2739,India,IND,339244.3353
2757,Malaysia,MYS,36018.901060000004
2775,Mozambique,MOZ,1832.8534079999997
2793,Nauru,NRU,14.87567076
2811,Spain,ESP,161391.3909
2829,Tajikistan,TJK,2064.609269
2847,Australia,AUS,117757.6641
2865,Brunei Darussalam,BRN,803.7860359
2883,Cambodia,KHM,3812.2026149999997
2901,China,CHN,1185566.074
2919,Cook Islands,COK,12.02561728
2937,Italy,ITA,219315.5053
2955,Kenya,KEN,7860.313948
2973,Kyrgyzstan,KGZ,1458.376256
2991,Malawi,MWI,2138.171434
3009,Malta,MLT,1814.9952329999999
3027,Mauritius,MUS,1616.860852
3045,Monaco,MCO,115.73912240000001
3063,Namibia,NAM,2268.656799
3081,Netherlands,NLD,94172.05782
3099,Nigeria,NGA,42204.00973
3117,Pakistan,PAK,31632.575210000003
3135,Palau,PLW,38.62981488
3153,Qatar,QAT,8852.911198
3171,Rwanda,RWA,1640.461915
3189,Sierra Leone,SLE,1551.958875
3207,Slovenia,SVN,6116.2747420000005
3225,Togo,TGO,808.8572919
3243,Turkmenistan,TKM,7195.4378959999995
3261,Uzbekistan,UZB,14291.88892
3279,Vanuatu,VUT,30.50600953
3280,South Sudan,SSD,2210.399454
